Precursor Density Summation,Precursor Count,Lowest Density,Highest Density,Mean,Successor Density

0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

0.9375,15.0,0.0625,0.0625,0.0625,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

12.125,97.0,0.125,0.125,0.125,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

40.6875,217.0,0.1875,0.1875,0.1875,0.0
24.375,130.0,0.1875,0.1875,0.1875,0.25
8.8125,47.0,0.1875,0.1875,0.1875,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.375,2.0,0.1875,0.1875,0.1875,1.0

56.0,224.0,0.25,0.25,0.25,0.0
101.75,407.0,0.25,0.25,0.25,0.25
82.25,329.0,0.25,0.25,0.25,0.5
25.75,103.0,0.25,0.25,0.25,0.75
10.5,42.0,0.25,0.25,0.25,1.0

59.6875,191.0,0.3125,0.3125,0.3125,0.0
189.0625,605.0,0.3125,0.3125,0.3125,0.25
222.1875,711.0,0.3125,0.3125,0.3125,0.5
168.75,540.0,0.3125,0.3125,0.3125,0.75
51.875,166.0,0.3125,0.3125,0.3125,1.0

63.375,169.0,0.375,0.375,0.375,0.0
258.75,690.0,0.375,0.375,0.375,0.25
511.125,1363.0,0.375,0.375,0.375,0.5
317.25,846.0,0.375,0.375,0.375,0.75
66.375,177.0,0.375,0.375,0.375,1.0

92.75,212.0,0.4375,0.4375,0.4375,0.0
527.625,1206.0,0.4375,0.4375,0.4375,0.25
652.3125,1491.0,0.4375,0.4375,0.4375,0.5
215.25,492.0,0.4375,0.4375,0.4375,0.75
28.875,66.0,0.4375,0.4375,0.4375,1.0

249.5,499.0,0.5,0.5,0.5,0.0
635.5,1271.0,0.5,0.5,0.5,0.25
362.5,725.0,0.5,0.5,0.5,0.5
35.5,71.0,0.5,0.5,0.5,0.75
4.0,8.0,0.5,0.5,0.5,1.0

948.9375,1687.0,0.5625,0.5625,0.5625,0.0
853.875,1518.0,0.5625,0.5625,0.5625,0.25
147.375,262.0,0.5625,0.5625,0.5625,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

1569.375,2511.0,0.625,0.625,0.625,0.0
442.5,708.0,0.625,0.625,0.625,0.25
16.25,26.0,0.625,0.625,0.625,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

1442.375,2098.0,0.6875,0.6875,0.6875,0.0
79.0625,115.0,0.6875,0.6875,0.6875,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

828.75,1105.0,0.75,0.75,0.75,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

321.75,396.0,0.8125,0.8125,0.8125,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

84.875,97.0,0.875,0.875,0.875,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

14.0625,15.0,0.9375,0.9375,0.9375,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

5786.1875,9535.0,0.0,1.0,0.6068366544310435,0.0
3112.5,6650.0,0.1875,0.6875,0.4680451127819549,0.25
2002.8125,4954.0,0.1875,0.625,0.404281893419459,0.5
762.5,2052.0,0.25,0.5,0.371588693957115,0.75
162.0,461.0,0.1875,0.5,0.351409978308026,1.0
